FECHA,TIPO_INGRESO,LINEA_1,LINEA_2,LINEA_3,LINEA_4,LINEA_5,LINEA_6,LINEA_7,LINEA_8,LINEA_9,LINEA_A,LINEA_B,LINEA_12
02/06/2012,Boletos,1583475,1725045,1236471,168615,412875,247575,444351,863856,537885,531870,1005075,0
03/06/2012,Boletos,994155,1002015,766755,103830,287505,157665,240579,520140,312825,357120,670440,0
04/06/2012,Boletos,1581690,1690140,1447044,194295,474120,360330,587415,880866,618435,606675,1028310,0
05/06/2012,Boletos,1354410,1546788,1285503,167055,414450,303375,516345,785343,559245,527640,845565,0
06/06/2012,Boletos,1355055,1537542,1265622,168870,394920,290055,505710,777567,546885,558645,881520,0
07/06/2012,Boletos,1318260,1524420,1248807,168345,394980,300030,477165,770943,544665,513165,868590,0
08/06/2012,Boletos,1414704,1654596,1310775,176850,421050,315930,505965,820110,566325,558585,927270,0
09/06/2012,Boletos,1445931,1615587,1143618,165960,393150,243555,408000,793950,507645,503430,964005,0
10/06/2012,Boletos,1005231,1038090,762180,100980,272850,170715,218175,520230,315945,342135,672480,0
11/06/2012,Boletos,1394274,1706427,1447578,196350,464955,366600,580425,909336,686760,602970,1011975,0
12/06/2012,Boletos,1331085,1516230,1262577,165000,399435,305115,490740,770349,566295,517875,827205,0
13/06/2012,Boletos,1327020,1507872,1249461,167790,395880,306345,477300,775383,547410,537075,867420,0
14/06/2012,Boletos,1376505,1543674,1267833,169515,396810,304290,482970,810117,566115,522615,883440,0
15/06/2012,Boletos,1519368,1709997,1374231,185145,439380,327270,533580,874290,613200,562500,971520,0
16/06/2012,Boletos,1502277,1686333,1218918,169815,412875,254010,437025,816195,544725,549750,974040,0
17/06/2012,Boletos,948450,982692,767319,103515,310245,182190,234525,523260,318045,374490,647835,0
18/06/2012,Boletos,1554915,1690302,1439901,196395,468840,362925,577995,894432,622320,594465,1025295,0
19/06/2012,Boletos,1345545,1507485,1253016,165135,392430,300855,489615,771522,552510,510255,815025,0
20/06/2012,Boletos,1314360,1474467,1228812,162930,382140,294240,482745,757767,534885,524040,857100,0
21/06/2012,Boletos,1306926,1468638,1209687,163965,385830,290325,473160,764874,535275,500655,843450,0
22/06/2012,Boletos,1405374,1548729,1261749,175170,404115,303510,496530,809430,550095,523695,905280,0
23/06/2012,Boletos,1444785,1567476,1116150,158325,382575,241455,389580,807585,500421,496605,931200,0
24/06/2012,Boletos,968655,949653,714765,95430,266940,157770,214725,496011,296244,339705,642780,0
25/06/2012,Boletos,1512360,1648557,1410129,189405,445860,339555,559305,890016,610350,593940,988320,0
26/06/2012,Boletos,1355340,1507899,1260900,166815,390030,297720,491910,788454,555750,507405,826680,0
27/06/2012,Boletos,1426410,1614666,1294995,176520,390060,291345,482385,847218,550830,528735,867885,0
28/06/2012,Boletos,1381890,1558266,1271151,166080,391290,292050,479415,817296,550500,507735,855030,0
29/06/2012,Boletos,1528020,1674819,1335240,176745,421110,318330,531015,877935,588375,556215,949440,0
30/06/2012,Boletos,1530495,1599978,1168761,166575,398220,250920,416280,822675,515910,516435,982695,0
01/07/2012,Boletos,869715,800037,650808,91830,258300,142515,196170,445932,277635,319365,602970,0
02/07/2012,Boletos,1591860,1692225,1415826,195450,458340,345645,583575,906426,622995,597585,1031310,0
03/07/2012,Boletos,1421145,1563795,1265214,169725,397770,294720,504150,816549,554715,539085,853185,0
04/07/2012,Boletos,1378230,1535253,1228080,164085,385155,283590,481935,801618,535890,525975,882960,0
05/07/2012,Boletos,1338990,1491732,1187823,162690,388875,278220,467730,774165,537630,478860,849090,0
06/07/2012,Boletos,1381605,1520727,1210704,169530,401640,287985,482700,794745,541350,489075,884235,0
07/07/2012,Boletos,1440420,1509735,1099875,159570,390735,244110,383505,792705,480990,262515,921435,0
08/07/2012,Boletos,953535,911691,702063,98295,280635,164445,208125,481614,293640,157275,638535,0
09/07/2012,Boletos,1569015,1646832,1374381,183735,451590,331860,548595,868530,602940,327675,986100,0
10/07/2012,Boletos,1409205,1528470,1237236,165135,393420,289275,491430,783291,543165,271350,823230,0
11/07/2012,Boletos,1411395,1542330,1244163,163680,393120,283380,478050,795909,559365,276675,886170,0
12/07/2012,Boletos,1404570,1497927,1211331,161910,394350,279630,462990,793221,549345,270690,847695,0
13/07/2012,Boletos,1514610,1624692,1288245,173685,424410,300735,507540,842850,580545,282795,917895,0
14/07/2012,Boletos,1468695,1536906,1104180,161010,404670,247080,402780,782565,497040,247215,924720,0
15/07/2012,Boletos,1011240,954720,752193,100005,293880,187440,220275,492249,300720,156675,660540,0
16/07/2012,Boletos,1649100,1720830,1404264,192870,462165,342585,583170,887847,619440,325305,1016220,0
17/07/2012,Boletos,1452390,1561575,1237743,168915,400080,289545,504495,786618,557415,267645,853530,0
18/07/2012,Boletos,1408545,1509363,1203510,162945,388860,280830,477060,777741,537555,276825,892110,0
19/07/2012,Boletos,1397946,1508649,1180074,162765,385515,275670,464985,774195,540450,254580,853845,0
20/07/2012,Boletos,1467474,1590804,1222728,172980,403395,290160,488715,810750,556065,273015,898545,0
21/07/2012,Boletos,1440885,1544583,1098558,161460,395535,246795,402030,763071,503085,237285,918975,0
22/07/2012,Boletos,1021269,998814,756009,100395,292920,177420,228345,509790,293805,154200,652245,0
23/07/2012,Boletos,1577547,1646742,1383978,185340,451725,331755,546705,851775,611505,310350,977910,0
24/07/2012,Boletos,1405344,1505340,1225905,163560,394725,288180,483855,763965,544980,260475,815550,0
25/07/2012,Boletos,1396020,1511391,1242435,162525,393045,289845,477420,777192,542640,264420,873315,0
26/07/2012,Boletos,1390545,1481697,1225725,158580,396705,282405,481950,760902,538860,262275,849675,0
27/07/2012,Boletos,1509315,1597845,1320765,173550,421320,298980,492045,816885,568020,283290,925620,0
28/07/2012,Boletos,1467420,1606290,1153254,158925,408600,256140,394425,776205,507120,245115,926775,0
29/07/2012,Boletos,1010760,973608,754221,100950,294915,185670,227790,489720,297360,156570,648870,0
30/07/2012,Boletos,1676835,1756809,1496409,194970,510795,375570,578025,912909,652740,344955,1060065,0
31/07/2012,Boletos,1544625,1668435,1379886,178950,455445,335895,537030,839214,595620,301440,908730,0
01/08/2012,Boletos,1544970,1679853,1403658,179025,441615,333345,529440,848364,598770,307620,981855,0
02/08/2012,Boletos,1500495,1652706,1341864,173055,439170,316425,493815,827733,580260,294870,942210,0
03/08/2012,Boletos,1544220,1686357,1356045,178455,445410,321525,510390,847680,587685,301950,983085,0
04/08/2012,Boletos,1477755,1613949,1159473,168840,411465,272625,415665,779505,516585,249738,968895,0
05/08/2012,Boletos,1057935,1014504,785076,107745,307365,193845,226875,518370,309060,164472,696075,0
06/08/2012,Boletos,1681200,1848621,1617015,212370,538260,407430,598539,933351,672420,372720,1127805,0
07/08/2012,Boletos,1469343,1632465,1387578,177690,448680,337380,511656,810396,583245,300510,897960,0
08/08/2012,Boletos,1463982,1654266,1380048,176445,440010,328065,511815,820827,571635,307050,960525,0
09/08/2012,Boletos,1443885,1580979,1331778,175350,437400,325605,500805,806346,583380,300360,915990,0
10/08/2012,Boletos,1475250,1594083,1342062,181170,450030,332430,509640,825015,575310,310350,933975,0
11/08/2012,Boletos,1473210,1596126,1145883,164295,412080,268290,396975,771345,486990,247032,912465,0
12/08/2012,Boletos,1016625,983136,744801,102945,285600,172095,218220,495012,291930,152058,658830,0
